# UEFI authenticated variable store in XM25QH256 (32MB) dump
# store header @ file 0x923048, FV @ 0x923000 (GUID FFF12B8D-...), size 0x6DFB8, 794 records
# offset    state  attrs  GUID                                   name                       dataLen
0x0092432C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0545'                                     1
0x00924374  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '055F'                                     1
0x009243BC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0560'                                     1
0x00924404  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0561'                                     1
0x0092444C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0562'                                     1
0x00924494  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0564'                                     1
0x009244DC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0589'                                     1
0x00924524  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0600'                                     1
0x0092456C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0613'                                     1
0x009245B4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '061C'                                     1
0x009245FC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0623'                                     1
0x00924644  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0624'                                     1
0x0092468C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0643'                                     1
0x009246D4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0646'                                     1
0x0092471C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0647'                                     1
0x00924764  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0648'                                     1
0x009247AC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0652'                                     1
0x009247F4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0653'                                     1
0x0092483C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0654'                                     1
0x00924884  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0655'                                     1
0x009248CC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0656'                                     1
0x00924914  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0657'                                     1
0x0092495C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '065E'                                     1
0x009249A4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0661'                                     1
0x009249EC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0665'                                     1
0x00924A34  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0669'                                     1
0x00924A7C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0673'                                     1
0x00924AC4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0674'                                     1
0x00924B0C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06AD'                                     1
0x00924B54  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06C6'                                     1
0x00924B9C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06C7'                                     1
0x00924BE4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06C8'                                     1
0x00924C2C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06CD'                                     1
0x00924C74  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06D2'                                     1
0x00924CBC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06D8'                                     1
0x00924D04  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06DA'                                     1
0x00924D4C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06E0'                                     1
0x00924D94  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06E1'                                     1
0x00924DDC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06EC'                                     1
0x00924E24  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06EE'                                     1
0x00924E6C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06EF'                                     1
0x00924EB4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06FE'                                     1
0x00924EFC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06FF'                                     1
0x00924F44  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0722'                                     1
0x00924F8C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0723'                                     1
0x00924FD4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0733'                                     1
0x0092501C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0743'                                     1
0x00925064  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0748'                                     1
0x009250AC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0751'                                     1
0x009250F4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0752'                                     1
0x0092513C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0753'                                     1
0x00925184  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0754'                                     1
0x009251CC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0755'                                     1
0x00925214  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0756'                                     1
0x0092525C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '076C'                                     1
0x009252A4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '077A'                                     1
0x009252EC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '077E'                                     1
0x00925334  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '078E'                                     1
0x0092537C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0C72'                                     1
